rules,tokens,token_ids,padded_token_ids,input_tensors,embeddings
"If a driver exceeds the posted speed limit, they may receive a speeding ticket","['[CLS]', 'if', 'a', 'driver', 'exceeds', 'the', 'posted', 'speed', 'limit', ',', 'they', 'may', 'receive', 'a', 'speeding', 'ticket', '[SEP]']","[101, 2065, 1037, 4062, 23651, 1996, 6866, 3177, 5787, 1010, 2027, 2089, 4374, 1037, 21485, 7281, 102]","[101, 2065, 1037, 4062, 23651, 1996, 6866, 3177, 5787, 1010, 2027, 2089, 4374, 1037, 21485, 7281, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","tensor([[  101,  2065,  1037,  4062, 23651,  1996,  6866,  3177,  5787,  1010,
          2027,  2089,  4374,  1037, 21485,  7281,   102,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0]])","tensor([[-0.6013,  0.3446,  0.4837,  ..., -0.4502,  0.4260, -0.7779],
        [-1.3760,  0.4952,  0.6902,  ..., -0.8073, -0.1703, -0.1808],
        [-1.6126, -0.3825,  0.4841,  ..., -0.8148, -0.4514,  0.2946],
        ...,
        [ 0.2365, -0.3631,  0.9112,  ..., -0.7331, -0.0261, -1.1245],
        [ 0.1889, -0.1603,  0.8752,  ..., -0.6798, -0.1615, -1.1239],
        [ 0.1544, -0.0515,  0.8377,  ..., -0.6533, -0.2380, -1.3510]])"
"If a vehicle owner does not wear a helmet while driving, he may be fined","['[CLS]', 'if', 'a', 'vehicle', 'owner', 'does', 'not', 'wear', 'a', 'helmet', 'while', 'driving', ',', 'he', 'may', 'be', 'fined', '[SEP]']","[101, 2065, 1037, 4316, 3954, 2515, 2025, 4929, 1037, 10412, 2096, 4439, 1010, 2002, 2089, 2022, 16981, 102]","[101, 2065, 1037, 4316, 3954, 2515, 2025, 4929, 1037, 10412, 2096, 4439, 1010, 2002, 2089, 2022, 16981, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","tensor([[  101,  2065,  1037,  4316,  3954,  2515,  2025,  4929,  1037, 10412,
          2096,  4439,  1010,  2002,  2089,  2022, 16981,   102,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0]])","tensor([[-0.5720,  0.3981,  0.4119,  ..., -0.4847,  0.4082, -0.8551],
        [-0.8745,  0.7291, -0.3293,  ..., -0.2651,  0.6316, -0.3338],
        [-1.6590,  0.1846, -0.1745,  ...,  0.0774, -0.3907,  0.1884],
        ...,
        [ 0.2341, -0.3750,  0.8782,  ..., -0.7431, -0.0893, -1.1347],
        [ 0.1893, -0.1651,  0.8302,  ..., -0.6893, -0.2220, -1.1460],
        [ 0.1763, -0.0248,  0.7663,  ..., -0.6626, -0.2959, -1.3966]])"
" If a driver fails to yield to pedestrians in a crosswalk, they may receive a citation or penalty","['[CLS]', 'if', 'a', 'driver', 'fails', 'to', 'yield', 'to', 'pedestrians', 'in', 'a', 'cross', '##walk', ',', 'they', 'may', 'receive', 'a', 'citation', 'or', 'penalty', '[SEP]']","[101, 2065, 1037, 4062, 11896, 2000, 10750, 2000, 24946, 1999, 1037, 2892, 17122, 1010, 2027, 2089, 4374, 1037, 11091, 2030, 6531, 102]","[101, 2065, 1037, 4062, 11896, 2000, 10750, 2000, 24946, 1999, 1037, 2892, 17122, 1010, 2027, 2089, 4374, 1037, 11091, 2030, 6531, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","tensor([[  101,  2065,  1037,  4062, 11896,  2000, 10750,  2000, 24946,  1999,
          1037,  2892, 17122,  1010,  2027,  2089,  4374,  1037, 11091,  2030,
          6531,   102,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0]])","tensor([[-0.7045,  0.2963,  0.4173,  ..., -0.4178,  0.4381, -0.8858],
        [-1.2628,  0.6214,  0.2580,  ..., -0.2591,  0.0915, -0.4579],
        [-1.6482, -0.1013, -0.0024,  ..., -0.5501, -0.6636,  0.0163],
        ...,
        [ 0.2732, -0.4202,  0.9048,  ..., -0.7464, -0.0644, -1.0948],
        [ 0.2198, -0.2159,  0.8470,  ..., -0.7002, -0.2156, -1.1076],
        [ 0.2135, -0.1238,  0.7923,  ..., -0.6655, -0.2683, -1.3380]])"
" If a driver is caught driving under the influence of drugs or alcohol, they may face legal consequences and/or have their license suspended","['[CLS]', 'if', 'a', 'driver', 'is', 'caught', 'driving', 'under', 'the', 'influence', 'of', 'drugs', 'or', 'alcohol', ',', 'they', 'may', 'face', 'legal', 'consequences', 'and', '/', 'or', 'have', 'their', 'license', 'suspended', '[SEP]']","[101, 2065, 1037, 4062, 2003, 3236, 4439, 2104, 1996, 3747, 1997, 5850, 2030, 6544, 1010, 2027, 2089, 2227, 3423, 8465, 1998, 1013, 2030, 2031, 2037, 6105, 6731, 102]","[101, 2065, 1037, 4062, 2003, 3236, 4439, 2104, 1996, 3747, 1997, 5850, 2030, 6544, 1010, 2027, 2089, 2227, 3423, 8465, 1998, 1013, 2030, 2031, 2037, 6105, 6731, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","tensor([[ 101, 2065, 1037, 4062, 2003, 3236, 4439, 2104, 1996, 3747, 1997, 5850,
         2030, 6544, 1010, 2027, 2089, 2227, 3423, 8465, 1998, 1013, 2030, 2031,
         2037, 6105, 6731,  102,    0,    0,    0,    0,    0,    0,    0,    0,
            0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
            0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
            0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
            0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
            0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
            0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
            0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
            0,    0,    0,    0,    0,    0,    0,    0]])","tensor([[-0.6104,  0.2731,  0.4523,  ..., -0.3765,  0.3573, -0.9963],
        [-0.5871,  0.8712,  0.1476,  ..., -0.2874,  0.2263, -0.3658],
        [-1.1242,  0.3621,  0.3508,  ..., -0.6295, -0.9259,  0.1319],
        ...,
        [ 0.3100, -0.4703,  0.8656,  ..., -0.7692, -0.0975, -1.0826],
        [ 0.2338, -0.2694,  0.8296,  ..., -0.7253, -0.2428, -1.0990],
        [ 0.2495, -0.1668,  0.7691,  ..., -0.7146, -0.2816, -1.3843]])"
" If a driver fails to stop at a stop sign or red light, they may receive a traffic ticket or citation","['[CLS]', 'if', 'a', 'driver', 'fails', 'to', 'stop', 'at', 'a', 'stop', 'sign', 'or', 'red', 'light', ',', 'they', 'may', 'receive', 'a', 'traffic', 'ticket', 'or', 'citation', '[SEP]']","[101, 2065, 1037, 4062, 11896, 2000, 2644, 2012, 1037, 2644, 3696, 2030, 2417, 2422, 1010, 2027, 2089, 4374, 1037, 4026, 7281, 2030, 11091, 102]","[101, 2065, 1037, 4062, 11896, 2000, 2644, 2012, 1037, 2644, 3696, 2030, 2417, 2422, 1010, 2027, 2089, 4374, 1037, 4026, 7281, 2030, 11091, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","tensor([[  101,  2065,  1037,  4062, 11896,  2000,  2644,  2012,  1037,  2644,
          3696,  2030,  2417,  2422,  1010,  2027,  2089,  4374,  1037,  4026,
          7281,  2030, 11091,   102,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0]])","tensor([[-0.5958,  0.2166,  0.3829,  ..., -0.4416,  0.4921, -0.7731],
        [-1.1569,  0.4761,  0.3616,  ..., -0.2718,  0.0049, -0.2550],
        [-1.5078, -0.2460,  0.2544,  ..., -0.6147, -0.6499,  0.1351],
        ...,
        [ 0.2981, -0.4730,  0.8662,  ..., -0.7573, -0.0891, -1.0998],
        [ 0.2388, -0.2725,  0.8291,  ..., -0.7144, -0.2332, -1.1133],
        [ 0.2421, -0.1766,  0.7626,  ..., -0.6828, -0.2840, -1.3794]])"
" If a driver parks in a no-parking zone, they may receive a parking ticket and/or have their vehicle towed","['[CLS]', 'if', 'a', 'driver', 'parks', 'in', 'a', 'no', '-', 'parking', 'zone', ',', 'they', 'may', 'receive', 'a', 'parking', 'ticket', 'and', '/', 'or', 'have', 'their', 'vehicle', 'towed', '[SEP]']","[101, 2065, 1037, 4062, 6328, 1999, 1037, 2053, 1011, 5581, 4224, 1010, 2027, 2089, 4374, 1037, 5581, 7281, 1998, 1013, 2030, 2031, 2037, 4316, 18948, 102]","[101, 2065, 1037, 4062, 6328, 1999, 1037, 2053, 1011, 5581, 4224, 1010, 2027, 2089, 4374, 1037, 5581, 7281, 1998, 1013, 2030, 2031, 2037, 4316, 18948, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","tensor([[  101,  2065,  1037,  4062,  6328,  1999,  1037,  2053,  1011,  5581,
          4224,  1010,  2027,  2089,  4374,  1037,  5581,  7281,  1998,  1013,
          2030,  2031,  2037,  4316, 18948,   102,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0]])","tensor([[-0.5879,  0.2027,  0.4406,  ..., -0.4606,  0.4285, -0.9320],
        [-1.1228,  0.6365,  0.2852,  ..., -0.4713, -0.2485,  0.1808],
        [-1.4237,  0.0472,  0.2601,  ..., -0.3856, -0.6750,  0.5753],
        ...,
        [ 0.3206, -0.4488,  0.7865,  ..., -0.7635, -0.1336, -1.1069],
        [ 0.2564, -0.2420,  0.7576,  ..., -0.7275, -0.2645, -1.1172],
        [ 0.2534, -0.1351,  0.7047,  ..., -0.7316, -0.3244, -1.4003]])"
"If a driver uses their phone while driving, they may be fined or receive a citation","['[CLS]', 'if', 'a', 'driver', 'uses', 'their', 'phone', 'while', 'driving', ',', 'they', 'may', 'be', 'fined', 'or', 'receive', 'a', 'citation', '[SEP]']","[101, 2065, 1037, 4062, 3594, 2037, 3042, 2096, 4439, 1010, 2027, 2089, 2022, 16981, 2030, 4374, 1037, 11091, 102]","[101, 2065, 1037, 4062, 3594, 2037, 3042, 2096, 4439, 1010, 2027, 2089, 2022, 16981, 2030, 4374, 1037, 11091, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","tensor([[  101,  2065,  1037,  4062,  3594,  2037,  3042,  2096,  4439,  1010,
          2027,  2089,  2022, 16981,  2030,  4374,  1037, 11091,   102,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0]])","tensor([[-0.6012,  0.3079,  0.4121,  ..., -0.4306,  0.4237, -0.7319],
        [-0.9817,  0.8765,  0.0839,  ..., -0.3444,  0.3246, -0.3482],
        [-1.3425, -0.2021,  0.2167,  ..., -0.3946, -0.5170, -0.1171],
        ...,
        [ 0.2713, -0.4178,  0.8881,  ..., -0.7281, -0.0495, -1.1354],
        [ 0.2144, -0.2126,  0.8446,  ..., -0.6760, -0.1820, -1.1213],
        [ 0.2182, -0.0764,  0.7598,  ..., -0.6168, -0.2573, -1.4226]])"
"If a driver fails to wear a seatbelt while driving, they may receive a ticket or citation","['[CLS]', 'if', 'a', 'driver', 'fails', 'to', 'wear', 'a', 'seat', '##belt', 'while', 'driving', ',', 'they', 'may', 'receive', 'a', 'ticket', 'or', 'citation', '[SEP]']","[101, 2065, 1037, 4062, 11896, 2000, 4929, 1037, 2835, 21561, 2096, 4439, 1010, 2027, 2089, 4374, 1037, 7281, 2030, 11091, 102]","[101, 2065, 1037, 4062, 11896, 2000, 4929, 1037, 2835, 21561, 2096, 4439, 1010, 2027, 2089, 4374, 1037, 7281, 2030, 11091, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","tensor([[  101,  2065,  1037,  4062, 11896,  2000,  4929,  1037,  2835, 21561,
          2096,  4439,  1010,  2027,  2089,  4374,  1037,  7281,  2030, 11091,
           102,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0]])","tensor([[-0.6412,  0.2829,  0.4087,  ..., -0.4043,  0.5488, -0.7222],
        [-1.0684,  0.6367,  0.2017,  ..., -0.2278,  0.2332, -0.4060],
        [-1.6949,  0.0189,  0.0785,  ..., -0.6263, -0.5558,  0.1979],
        ...,
        [ 0.2756, -0.4221,  0.8759,  ..., -0.7400, -0.0393, -1.1158],
        [ 0.2262, -0.2244,  0.8235,  ..., -0.6860, -0.1857, -1.1275],
        [ 0.2030, -0.1173,  0.7627,  ..., -0.6461, -0.2494, -1.3620]])"
"If a driver passes a school bus with its stop sign and lights activated, they may receive a ticket or citation","['[CLS]', 'if', 'a', 'driver', 'passes', 'a', 'school', 'bus', 'with', 'its', 'stop', 'sign', 'and', 'lights', 'activated', ',', 'they', 'may', 'receive', 'a', 'ticket', 'or', 'citation', '[SEP]']","[101, 2065, 1037, 4062, 5235, 1037, 2082, 3902, 2007, 2049, 2644, 3696, 1998, 4597, 8878, 1010, 2027, 2089, 4374, 1037, 7281, 2030, 11091, 102]","[101, 2065, 1037, 4062, 5235, 1037, 2082, 3902, 2007, 2049, 2644, 3696, 1998, 4597, 8878, 1010, 2027, 2089, 4374, 1037, 7281, 2030, 11091, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","tensor([[  101,  2065,  1037,  4062,  5235,  1037,  2082,  3902,  2007,  2049,
          2644,  3696,  1998,  4597,  8878,  1010,  2027,  2089,  4374,  1037,
          7281,  2030, 11091,   102,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0]])","tensor([[-0.6101,  0.2339,  0.3347,  ..., -0.4913,  0.5357, -0.7973],
        [-0.8947,  0.6939,  0.1125,  ..., -0.2282, -0.1072, -0.0697],
        [-1.5590,  0.0707,  0.2229,  ..., -0.4231, -0.5915,  0.4353],
        ...,
        [ 0.3057, -0.4329,  0.7892,  ..., -0.7461, -0.1182, -1.1107],
        [ 0.2455, -0.2365,  0.7561,  ..., -0.7039, -0.2469, -1.1104],
        [ 0.2328, -0.1165,  0.6836,  ..., -0.6999, -0.3065, -1.3864]])"
"If a driver violates a carpool lane by driving solo, they may receive a ticket or citation","['[CLS]', 'if', 'a', 'driver', 'violate', '##s', 'a', 'carp', '##ool', 'lane', 'by', 'driving', 'solo', ',', 'they', 'may', 'receive', 'a', 'ticket', 'or', 'citation', '[SEP]']","[101, 2065, 1037, 4062, 23640, 2015, 1037, 29267, 13669, 4644, 2011, 4439, 3948, 1010, 2027, 2089, 4374, 1037, 7281, 2030, 11091, 102]","[101, 2065, 1037, 4062, 23640, 2015, 1037, 29267, 13669, 4644, 2011, 4439, 3948, 1010, 2027, 2089, 4374, 1037, 7281, 2030, 11091, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","tensor([[  101,  2065,  1037,  4062, 23640,  2015,  1037, 29267, 13669,  4644,
          2011,  4439,  3948,  1010,  2027,  2089,  4374,  1037,  7281,  2030,
         11091,   102,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0,     0,     0,
             0,     0,     0,     0,     0,     0,     0,     0]])","tensor([[-0.6388,  0.2562,  0.3851,  ..., -0.4012,  0.5309, -0.6982],
        [-1.0736,  0.8224,  0.3255,  ..., -0.4093, -0.0702, -0.1707],
        [-1.5833, -0.0642,  0.2739,  ..., -0.7577, -0.7247,  0.2694],
        ...,
        [ 0.2733, -0.4302,  0.8695,  ..., -0.7548, -0.0601, -1.1167],
        [ 0.2136, -0.2383,  0.8170,  ..., -0.7001, -0.2099, -1.1276],
        [ 0.1963, -0.1130,  0.7549,  ..., -0.6586, -0.2768, -1.3696]])"
